datetime,open,high,low,close,volume
2024-01-01 17:45:00,47950.0,48200.0,47600.0,47750.0,2050.5
2024-01-01 18:00:00,47750.0,48000.0,47400.0,47600.0,1890.2
2024-01-01 18:15:00,47600.0,47900.0,47300.0,47500.0,1750.7
2024-01-01 18:30:00,47500.0,47800.0,47200.0,47650.0,1880.4
2024-01-01 18:45:00,47650.0,48000.0,47400.0,47900.0,2050.6
2024-01-01 19:00:00,47900.0,48300.0,47700.0,48150.0,2250.3
2024-01-01 19:15:00,48150.0,48600.0,48000.0,48400.0,2450.8
2024-01-01 19:30:00,48400.0,48800.0,48200.0,48650.0,2680.5
2024-01-01 19:45:00,48650.0,49100.0,48500.0,48950.0,2900.2
2024-01-01 20:00:00,48950.0,49400.0,48800.0,49200.0,3120.7
